GeneID	ENTREZID	SYMBOL	baseMean	logFC	lfcSE	stat	pvalue	FDR	Subset_Comparison
ENSG00000000003	7105	TSPAN6	259.007760120931	0.166678772171186	0.0605800264125067	2.75138163585837	0.00593444617048478	0.0103724722934194	HFpEF-Normal
ENSG00000000419	8813	DPM1	1051.95629652213	0.336248117231707	0.0513138442408967	6.55277580945144	5.64772745787804e-11	3.011934176095e-10	HFpEF-Normal
ENSG00000000457	57147	SCYL3	289.129569306326	0.106298611985758	0.0374808764064269	2.83607594531942	0.00456715842162865	0.0081283147891981	HFpEF-Normal
ENSG00000000971	3075	CFH	1388.44266920929	-0.571984789051125	0.153105169257646	-3.73589469137119	0.000187048940699538	0.000416052059225963	HFpEF-Normal
ENSG00000001036	2519	FUCA2	1213.20167690392	-0.162367601310928	0.0527158133956174	-3.08005493707182	0.00206962416075632	0.00389597670963427	HFpEF-Normal
ENSG00000001084	2729	GCLC	887.293488318563	-0.17145868080617	0.0468741049583276	-3.65785503442895	0.000254334820982666	0.00055479012586786	HFpEF-Normal
ENSG00000001167	4800	NFYA	373.142688182192	0.05567422795747	0.0597172703549962	0.932296932302969	0.351183092669254	0.413632775449077	HFpEF-Normal
ENSG00000001461	57185	NIPAL3	1377.74611695645	-0.303460779579269	0.0541409389835208	-5.60501508242469	2.08236830502511e-08	8.0114062075724e-08	HFpEF-Normal
ENSG00000001497	81887	LAS1L	521.954639730551	0.276209222968744	0.0538245200105241	5.13166160914649	2.87195484103529e-07	9.68754336507659e-07	HFpEF-Normal
ENSG00000001561	22875	ENPP4	1560.14528591784	-0.170198071077565	0.0567521846712105	-2.99896950335207	0.00270894420491559	0.00500918244595589	HFpEF-Normal
ENSG00000001617	6405	SEMA3F	388.915795216849	-0.545147375091926	0.0820422352997441	-6.64471626230332	3.03801740979484e-11	1.68203956692975e-10	HFpEF-Normal
ENSG00000001629	54467	ANKIB1	983.715575698786	-0.0716634854717565	0.0453466129132735	-1.58034924480059	0.114026908127676	0.153919829438918	HFpEF-Normal
ENSG00000001631	889	KRIT1	875.988927691104	-0.00512042021031345	0.0419463108555907	-0.122070811613007	0.90284293792905	0.922577702033685	HFpEF-Normal
ENSG00000002016	5893	RAD52	205.692370847361	0.643159708519411	0.0666780964354191	9.64574189880093	5.12393282306719e-22	8.98362731887434e-21	HFpEF-Normal
ENSG00000002330	572	BAD	859.625653099201	0.101843455952709	0.0604927060462662	1.6835658810637	0.0922655971924486	0.127028069214968	HFpEF-Normal
ENSG00000002549	51056	LAP3	1850.44618845969	0.168171582074047	0.0622964198572269	2.69953847202566	0.00694357270740779	0.0119666776663164	HFpEF-Normal
ENSG00000002586	4267	CD99	3869.20315013096	-0.637734500592288	0.0620935636876402	-10.2705411433686	9.56665188765529e-25	2.2315255381422e-23	HFpEF-Normal
ENSG00000002822	8379	MAD1L1	302.707985964209	0.0913064867211863	0.0572818130544466	1.59398737317199	0.110938863060212	0.150167024175108	HFpEF-Normal
ENSG00000002834	3927	LASP1	1370.25988681872	-0.280851855568381	0.0675266878126435	-4.15912381705466	3.19470697950286e-05	7.96264945181549e-05	HFpEF-Normal
ENSG00000002919	29916	SNX11	339.306701265534	-0.148586577974945	0.0330194185117337	-4.49997561047732	6.79612596387972e-06	1.862166281727e-05	HFpEF-Normal
ENSG00000002933	55365	TMEM176A	355.34711837806	-0.288019875383293	0.15762208953102	-1.82728116497029	0.0676575056813789	0.0961925315968193	HFpEF-Normal
ENSG00000003056	4074	M6PR	1791.49378750953	-0.0868403276622929	0.0295880276613493	-2.93498196825509	0.00333567071547874	0.00608506417576329	HFpEF-Normal
ENSG00000003096	90293	KLHL13	436.812926756303	0.626970532602993	0.0682400691413574	9.18771830820161	4.01262074194505e-20	5.89800281658499e-19	HFpEF-Normal
ENSG00000003147	3382	ICA1	1039.67847244654	0.050795940841637	0.0616417868474501	0.824050428118605	0.409910905229123	0.473908416453883	HFpEF-Normal
ENSG00000003393	57679	ALS2	1713.33823169267	-0.267613861508844	0.0475563928086764	-5.62729521108714	1.83057290117631e-08	7.09611532862061e-08	HFpEF-Normal
ENSG00000003402	8837	CFLAR	10981.206214191	0.159630934265385	0.0617761240585212	2.58402314321574	0.0097655241256274	0.0164193286395	HFpEF-Normal
ENSG00000003436	7035	TFPI	851.906776009982	-0.826475515085416	0.0897911007474376	-9.20442569704216	3.43503137140568e-20	5.11205084815298e-19	HFpEF-Normal
ENSG00000003509	55471	NDUFAF7	777.483327101827	0.0296733736454637	0.0368659163824883	0.80489993352122	0.420877426774171	0.484291130218429	HFpEF-Normal
ENSG00000003756	10181	RBM5	2167.50350631984	0.645139562482291	0.0618809379107144	10.4254974837831	1.89664169976804e-25	4.64633914121257e-24	HFpEF-Normal
ENSG00000003989	6542	SLC7A2	1937.67254189684	-0.278092842298461	0.096281420735014	-2.88833338951061	0.00387289142106803	0.00697835851352812	HFpEF-Normal
ENSG00000004059	381	ARF5	934.014428590649	-0.0109291801149397	0.0449934362784141	-0.242906099621091	0.808078140254517	0.844930661170432	HFpEF-Normal
ENSG00000004142	26073	POLDIP2	3701.96847796077	-0.0836314515486684	0.0327022090341406	-2.55736398300673	0.0105468795335662	0.0176356580014283	HFpEF-Normal
ENSG00000004399	23129	PLXND1	2095.47317695539	0.090971738905559	0.0649443662967912	1.40076413233173	0.161284617647118	0.208831175015515	HFpEF-Normal
ENSG00000004455	204	AK2	1786.93164672568	-0.0918810420036154	0.0317997502495741	-2.88936363595642	0.00386022392398843	0.0069590394328622	HFpEF-Normal
ENSG00000004468	952	CD38	325.26969420219	-1.38261870298269	0.102560223127928	-13.481042267801	2.02229706697319e-41	1.83891928208664e-39	HFpEF-Normal
ENSG00000004478	2288	FKBP4	1619.31069346968	-0.0758565926742031	0.0545638899164178	-1.39023432512605	0.164457733399936	0.21242704699426	HFpEF-Normal
ENSG00000004487	23028	KDM1A	1113.24066254812	-0.0762104467619968	0.0261598970097238	-2.91325484705345	0.00357682562526643	0.00649286735901012	HFpEF-Normal
ENSG00000004534	10180	RBM6	2027.32203083563	0.372770335262932	0.0787147525750397	4.73571119857825	2.18288250030594e-06	6.43647409405955e-06	HFpEF-Normal
